Ministries/Departments,Head Of Expenditure,Detailed Head Of Expenditure,Actual 2021-2022 Total,Budget 2022-2023 Total,Revised 2022-2023 Total,Budget 2023-2024 Total,Anomaly,Anomaly_Flag
Department of Health and Family Welfare,National Rural Health Mission,Health System Strengthening under NRHM (Gross Budgetary Support),269.06,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Rural Health Mission,Health System Strengthening under NRHM (Support from PMSSN),10839.61,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Rural Health Mission,Ayushman Bharat - Health and Wellness Centres (Support from PMSSN),1547.52,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Rural Health Mission,Flexible Pool for Communicable Diseases,2773.08,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Rural Health Mission,"Flexible Pool for Non-Communicable Diseases, Injury & Trauma (Support from National Investment Fund)",364.89,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Rural Health Mission,"Pilot Schemes (Sports Medicine, Deafness, Leptospirosis Control, Control of Human Rabies, Medical Rehabilitation, Oral Health, Fluorosis)",24.16,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Urban Health Mission,Total National Urban Health Mission,502.08,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Urban Health Mission,Other Health System for activities covered under NUHM (NIF),376.45,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,National Urban Health Mission,Ayushman Bharat - Health and Wellness Centres (NIF),125.63,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,"Flexible Pool for RCH & Health System Strengthening , National Health Programme and National Urban Health Mission","Total Flexible Pool for RCH & Health System Strengthening , National Health Programme and National Urban Health Mission",0.0,22316.73,21831.28,0.0,1,Normal
Department of Health and Family Welfare,"Flexible Pool for RCH & Health System Strengthening , National Health Programme and National Urban Health Mission",Gross Budgetary Support (GBS),0.0,17798.75,18185.09,25638.57,1,Normal
Department of Health and Family Welfare,"Flexible Pool for RCH & Health System Strengthening , National Health Programme and National Urban Health Mission",Support from National Investment Funds (NIF),0.0,2138.98,2138.98,0.0,1,Normal
Department of Health and Family Welfare,"Flexible Pool for RCH & Health System Strengthening , National Health Programme and National Urban Health Mission",Support from PMSSN,0.0,5838.0,5838.0,0.0,1,Normal
Department of Health and Family Welfare,Infrastructure Maintenance,Total Infrastructure Maintenance,6939.15,6343.0,6943.01,0.0,1,Normal
Department of Health and Family Welfare,Infrastructure Maintenance,Gross Budgetary Support (GBS),6939.15,2343.0,2734.01,5498.37,1,Normal
Department of Health and Family Welfare,Infrastructure Maintenance,Support from PMSSN,0.0,4000.0,4209.0,1300.0,1,Normal
Department of Health and Family Welfare,Strengthening National Programme Management of the NRHM,Total Strengthening National Programme Management of the NRHM,134.88,200.0,200.0,192.32,1,Normal
Department of Health and Family Welfare,Human Resources for Health and Medical Education,Total Human Resources for Health and Medical Education,5051.4,7500.0,4083.37,6500.0,1,Normal
Department of Health and Family Welfare,Strengthening of State Drug Regulatory System,Total Strengthening of State Drug Regulatory System,60.88,100.0,40.0,72.14,1,Normal
Department of Health and Family Welfare,Tertiary Care Programme,Total Tertiary Care Programme,405.02,500.5,327.45,289.81,1,Normal
Department of Health and Family Welfare,Senior Citizen Health Insurance Scheme,Total Senior Citizen Health Insurance Scheme,0.0,40.0,25.0,0.01,1,Normal
Department of Health and Family Welfare,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM),Total Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM),584.04,4176.84,1885.45,4200.0,1,Normal
Department of Health and Family Welfare,Rashtriya Swasthya Bima Yojna (RSBY),Total Rashtriya Swasthya Bima Yojna (RSBY),0.0,45.0,15.0,4200.0,1,Normal
Department of Health and Family Welfare,Rashtriya Swasthya Bima Yojna (RSBY),Support from Gross Budgetary Support (GBS),0.0,45.0,15.0,0.01,1,Normal
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Total Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),3115.55,6412.0,6412.0,0.01,1,Normal
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Gross Budgetary Support,0.0,0.0,0.0,411.0,1,Normal
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Support from (PMSSN),3115.55,6412.0,6412.0,6789.0,1,Normal
Department of Health and Family Welfare,Pradhan Mantri Swasthya Suraksha Nidhi (PMSSN),Total Pradhan Mantri Swasthya Suraksha Nidhi (PMSSN),0.0,0.0,0.0,6789.0,1,Normal
Department of Health and Family Welfare,Pradhan Mantri Swasthya Suraksha Nidhi (PMSSN),Transfer to PMSSN,0.0,23750.0,20542.37,14589.0,1,Normal
Department of Health and Family Welfare,Pradhan Mantri Swasthya Suraksha Nidhi (PMSSN),Amount met from PMSSN,0.0,-23750.0,-20542.37,-14589.0,1,Normal
Department of Health and Family Welfare,India COVID-19 Emergency Response and Health System Preparedness Package(Phase-II) (DBS) (CSS),Total India COVID-19 Emergency Response and Health System Preparedness Package(Phase-II) (DBS) (CSS),12855.77,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,Council of Ministers,Total Council of Ministers,1.16,5.0,1.5,2.88,1,Normal
Department of Health and Family Welfare,Pensions and other Retirement Benefits,Total Pensions and other Retirement Benefits,2738.56,2645.0,4640.42,3846.19,1,Normal
Department of Health and Family Welfare,Medical and Public Health,Total Medical and Public Health,28529.36,30819.32,29955.71,33655.67,1,Normal
Department of Health and Family Welfare,Family Welfare,Total Family Welfare,384.42,1225.13,1265.92,1353.05,1,Normal
Department of Health and Family Welfare,Social Security and Welfare,Total Social Security and Welfare,0.0,0.1,0.0,0.1,1,Normal
Department of Health and Family Welfare,Secretariat-Social Services,Total Secretariat-Social Services,207.3,244.06,257.07,262.4,1,Normal
Department of Health and Family Welfare,Capital Outlay on Medical and Public Health,Total Capital Outlay on Medical and Public Health,3117.25,5537.36,3486.19,5205.85,1,Normal
Department of Health and Family Welfare,Capital Outlay on Family Welfare,Total Capital Outlay on Family Welfare,3.7,8.84,8.58,4.21,1,Normal
Department of Health and Family Welfare,Capital Outlay on Housing,Total Capital Outlay on Housing,7.36,36.37,37.37,35.25,1,Normal
Department of Health and Family Welfare,Capital Outlay on other Social Services,Total Capital Outlay on other Social Services,0.0,0.0,0.0,5.0,1,Normal
Department of Health and Family Welfare,North Eastern Areas,Total North Eastern Areas,0.0,6229.73,5654.57,6445.87,1,Normal
Department of Health and Family Welfare,Grants-in-aid to State Governments,Total Grants-in-aid to State Governments,45678.29,35052.55,30179.79,34154.92,-1,Fraud
Department of Health and Family Welfare,Grants-in-aid to Union Territory Governments,Total Grants-in-aid to Union Territory Governments,1112.45,1146.54,833.28,1153.58,1,Normal
Department of Health and Family Welfare,Aid Materials and Equipment,Total Aid Materials and Equipment,0.0,0.0,0.0,0.0,1,Normal
Department of Health and Family Welfare,Capital Outlay on North Eastern Areas,Total Capital Outlay on North Eastern Areas,0.0,50.0,50.0,50.03,1,Normal
Department of Health and Family Welfare,HLL Lifecare Ltd,Total HLL Lifecare Ltd,506.28,100.0,45.55,17.85,1,Normal
Department of Health and Family Welfare,HLL Medi Park Ltd,Total HLL Medi Park Ltd,23.72,0.0,26.09,28.7,1,Normal
Department of Health and Family Welfare,Goa Antibiotics and  Pharmaceuticals Ltd,Total Goa Antibiotics and  Pharmaceuticals Ltd,-6.12,4.64,4.76,5.25,1,Normal
Department of Health Research,Secretariat,Total Secretariat,35.91,48.0,43.35,54.0,1,Normal
Department of Health Research,Setting up of nation wide network of laboratories for managing epidemics and national calamities,Total Setting up of nation wide network of laboratories for managing epidemics and national calamities,75.79,82.0,70.0,60.0,1,Normal
Department of Health Research,Development of Infrastructure for Promotion of Health Research,Total Development of Infrastructure for Promotion of Health Research,57.61,80.0,67.0,80.0,1,Normal
Department of Health Research,Development of tools/support to prevent outbreaks of epidemics,Total Development of tools/support to prevent outbreaks of epidemics,14.8,15.0,15.0,10.0,1,Normal
Department of Health Research,Human Resource and Capacity Development,Total Human Resource and Capacity Development,59.9,87.65,84.65,92.06,1,Normal
Department of Health Research,COVID-19 Emergency Response and Health System Preparedness Package-EAP,Total COVID-19 Emergency Response and Health System Preparedness Package-EAP,489.24,0.0,0.0,0.0,1,Normal
Department of Health Research,Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health,Total Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health,116.0,690.0,378.27,324.36,1,Normal
Department of Health Research,"Indian Council of Medical Research, New Delhi","Total Indian Council of Medical Research, New Delhi",1841.36,2198.0,2116.73,2359.58,1,Normal
Department of Health Research,Medical and Public Health,Total Medical and Public Health,2654.7,3048.65,2632.65,2769.04,1,Normal
Department of Health Research,Secretariat-Social Services,Total Secretariat-Social Services,35.91,48.0,43.35,53.2,1,Normal
Department of Health Research,Capital Outlay on other Social Services,Total Capital Outlay on other Social Services,0.0,0.0,0.0,0.8,1,Normal
Department of Health Research,North Eastern Areas,Total North Eastern Areas,0.0,104.0,99.0,156.96,1,Normal
Department of Higher Education,Secretariat,Total Secretariat,105.87,154.17,159.78,164.23,1,Normal
Department of Higher Education,Directorate of Hindi,Total Directorate of Hindi,25.81,36.0,36.0,39.77,1,Normal
Department of Higher Education,Commission for Scientific and Technical Terminology,Total Commission for Scientific and Technical Terminology,8.47,12.0,12.0,13.0,1,Normal
Department of Higher Education,"Central Institute of Indian Languages (CIIL), Mysore and Regional Language Centers","Total Central Institute of Indian Languages (CIIL), Mysore and Regional Language Centers",39.23,60.0,51.5,61.37,1,Normal
Department of Higher Education,Educational Institutions Abroad,Total Educational Institutions Abroad,8.44,11.21,11.21,12.48,1,Normal
Department of Higher Education,National Research Professors,Total National Research Professors,0.38,0.27,0.27,0.27,1,Normal
Department of Higher Education,"Establishment of multi disciplinary research universities including Central University of Himalayan Studies (CUHS), creation of Centres of Excellence and National Centre for Excellence in humanities","Total Establishment of multi disciplinary research universities including Central University of Himalayan Studies (CUHS), creation of Centres of Excellence and National Centre for Excellence in humanities",0.0,0.01,0.01,0.0,1,Normal
Department of Higher Education,Higher Education Financing Agency (HEFA),Total Higher Education Financing Agency (HEFA),0.0,0.01,0.01,0.0,1,Normal
Department of Higher Education,World Class Institutions,Total World Class Institutions,1046.31,1700.0,1200.0,1500.0,1,Normal
Department of Higher Education,Prime Minister's Girls' Hostel,Total Prime Minister's Girls' Hostel,0.0,20.0,5.0,10.0,1,Normal
Department of Higher Education,Indian Knowledge Systems,Total Indian Knowledge Systems,10.0,10.0,20.0,20.0,1,Normal
Department of Higher Education,Glue Grant for Higher Education Institutes,Total Glue Grant for Higher Education Institutes,0.0,10.0,0.0,10.0,1,Normal
Department of Higher Education,Interest Subsidy and contribution for Guarantee Funds,Total Interest Subsidy and contribution for Guarantee Funds,1385.21,1400.0,1070.0,0.0,1,Normal
Department of Higher Education,Scholarship for College and University students,Total Scholarship for College and University students,191.96,252.85,243.0,0.0,1,Normal
Department of Higher Education,Special Scholarship Scheme for Jammu and Kashmir,Total Special Scholarship Scheme for Jammu and Kashmir,184.0,225.0,200.0,0.0,1,Normal
Department of Higher Education,PM Uchchatar Shiksha Protsahan (PM-USP) Yojna,Total PM Uchchatar Shiksha Protsahan (PM-USP) Yojna,0.0,0.0,0.0,1554.0,1,Normal
Department of Higher Education,PM Research Fellowship,Total PM Research Fellowship,111.19,200.0,300.0,400.0,1,Normal
Department of Higher Education,National Mission in Education Through ICT,Total National Mission in Education Through ICT,85.51,400.0,400.0,400.0,1,Normal
Department of Higher Education,Setting up of virtual classrooms and massive open online courses (MOOCs),Total Setting up of virtual classrooms and massive open online courses (MOOCs),80.33,0.0,0.0,0.0,1,Normal
Department of Higher Education,e-shodh Sindhu,Total e-shodh Sindhu,150.0,0.0,0.0,0.0,1,Normal
Department of Higher Education,Higher Education Statistics and Public Information  System (HESPIS),Total Higher Education Statistics and Public Information  System (HESPIS),2.06,10.0,10.0,10.0,1,Normal
Department of Higher Education,National Digital Library,Total National Digital Library,4.88,0.0,0.0,0.0,1,Normal
Department of Higher Education,National Academic Depository,Total National Academic Depository,0.0,0.1,0.0,0.0,1,Normal
Department of Higher Education,PM e-Vidya,Total PM e-Vidya,0.0,0.01,0.0,0.0,1,Normal
Department of Higher Education,Academic Bank of Credits (ABC),Total Academic Bank of Credits (ABC),28.79,10.9,5.0,10.0,1,Normal
Department of Higher Education,National Inititative for Design Innovation,Total National Inititative for Design Innovation,4.47,17.8,17.8,10.0,1,Normal
Department of Higher Education,Startup India Initiative in Higher Educational Institutions,Total Startup India Initiative in Higher Educational Institutions,29.32,60.0,40.0,11.21,1,Normal
Department of Higher Education,Unnat Bharat Abhiyan,Total Unnat Bharat Abhiyan,6.55,12.6,12.6,9.4,1,Normal
Department of Higher Education,Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology),Total Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology),3.54,10.0,10.0,5.0,1,Normal
Department of Higher Education,Impactful Policy Research in Social Science (IMPRESS),Total Impactful Policy Research in Social Science (IMPRESS),0.0,17.26,0.25,0.0,1,Normal
Department of Higher Education,Scheme for Promotion of Academic and Research Collaboration (SPARC),Total Scheme for Promotion of Academic and Research Collaboration (SPARC),0.0,74.0,70.59,50.0,1,Normal
Department of Higher Education,Scheme for Transformational and Advanced Research in Sciences (STARS),Total Scheme for Transformational and Advanced Research in Sciences (STARS),10.56,25.0,25.0,25.0,1,Normal
Department of Higher Education,Multidisciplinary Education and Research Improvement in Technical Education-EAP (MERITE),Total Multidisciplinary Education and Research Improvement in Technical Education-EAP (MERITE),2.0,2.0,9.0,100.0,1,Normal
Department of Higher Education,Pandit Madan Mohan Malviya National Mission on Teachers and Teaching,Total Pandit Madan Mohan Malviya National Mission on Teachers and Teaching,23.38,95.0,25.0,45.0,1,Normal
Department of Higher Education,National Institutional Ranking Framework,Total National Institutional Ranking Framework,3.0,4.0,4.0,4.5,1,Normal
Department of Higher Education,Global Initiative for Academic Network (GIAN),Total Global Initiative for Academic Network (GIAN),0.0,10.0,10.0,10.0,1,Normal
Department of Higher Education,Technical Education Quality Improvement Programme of Government of India (EAP),Total Technical Education Quality Improvement Programme of Government of India (EAP),34.68,0.0,0.0,0.0,1,Normal
Department of Higher Education,Programme for Apprenticeship Training,Total Programme for Apprenticeship Training,96.75,500.0,400.0,0.0,1,Normal
Department of Higher Education,National Apprenticeship Training Scheme (NATS),Total National Apprenticeship Training Scheme (NATS),0.0,0.0,0.0,440.0,1,Normal
Department of Higher Education,Study in India,Total Study in India,15.0,25.0,25.0,25.0,1,Normal
Department of Higher Education,Planning Administration and Global Engagement,Total Planning Administration and Global Engagement,61.48,110.2,107.49,115.65,1,Normal
Department of Higher Education,ASEAN Fellowship,Total ASEAN Fellowship,1.03,10.0,3.0,3.0,1,Normal
Department of Higher Education,Education Services-Internationalization of Higher Education,Total Education Services-Internationalization of Higher Education,95.65,200.0,200.0,200.0,1,Normal
Department of Higher Education,University Grants Commission (UGC),Total University Grants Commission (UGC),4613.25,4900.91,5130.91,5360.0,1,Normal
Department of Higher Education,All India Council for Technical Education (AICTE),Total All India Council for Technical Education (AICTE),416.0,420.0,420.0,420.0,1,Normal
Department of Higher Education,Grants to Central Universities (CUs),Total Grants to Central Universities (CUs),8750.05,9420.0,11034.32,420.0,1,Normal
Department of Higher Education,Grants to Central Universities (CUs),Support to Central Universities (CUs),8447.34,8990.0,10737.18,11252.56,1,Normal
Department of Higher Education,Grants to Central Universities (CUs),Interest under HEFA Loan,45.57,55.0,65.0,64.2,1,Normal
Department of Higher Education,Grants to Central Universities (CUs),Repayment of Principal of HEFA Loan,257.14,375.0,232.14,212.14,1,Normal
Department of Higher Education,"Central University, Andhra Pradesh","Total Central University, Andhra Pradesh",117.92,56.66,13.08,47.4,1,Normal
Department of Higher Education,Andhra Pradesh and Telangana Tribal Universities,Total Andhra Pradesh and Telangana Tribal Universities,11.14,44.0,43.75,37.67,1,Normal
Department of Higher Education,Deemed  Universities promoted by Central Government,Total Deemed  Universities promoted by Central Government,457.98,393.25,393.25,500.0,1,Normal
Department of Higher Education,Support to Indian Institutes of Technology,Total Support to Indian Institutes of Technology,7851.62,8195.0,8895.0,500.0,1,Normal
Department of Higher Education,Support to Indian Institutes of Technology,Grants to Indian Institutes of Technology,6993.91,7545.0,8245.0,8791.5,1,Normal
Department of Higher Education,Support to Indian Institutes of Technology,Interest under HEFA Loan,232.65,270.0,270.0,270.0,1,Normal
Department of Higher Education,Support to Indian Institutes of Technology,Repayment of Principal of HEFA Loan,625.06,380.0,380.0,300.0,1,Normal
Department of Higher Education,"IIT, Hyderabad (EAP)","Total IIT, Hyderabad (EAP)",230.0,300.0,450.0,300.0,1,Normal
Department of Higher Education,Support to Indian Institutes of Management (IIMs),Total Support to Indian Institutes of Management (IIMs),651.0,653.92,608.23,300.0,1,Normal
Department of Higher Education,Support to Indian Institutes of Management (IIMs),Support from Gross Budgetary Support (GBS),350.59,323.5,296.81,15.17,1,Normal
Department of Higher Education,Support to Indian Institutes of Management (IIMs),Interest under HEFA Loan,20.0,50.0,31.0,29.79,1,Normal
Department of Higher Education,Support to Indian Institutes of Management (IIMs),Repayment of Principal of HEFA Loan,280.41,280.42,280.42,255.04,1,Normal
Department of Higher Education,Support to National Institutes of Technology (NITs) and IIEST,Total Support to National Institutes of Technology (NITs) and IIEST,3485.39,4364.0,4444.0,255.04,1,Normal
Department of Higher Education,Support to National Institutes of Technology (NITs) and IIEST,Grants to National Institutes of Technology (NITs) and IIEST,3223.99,4035.0,4285.0,4620.0,1,Normal
Department of Higher Education,Support to National Institutes of Technology (NITs) and IIEST,Interest under HEFA Loan,40.6,177.0,37.0,80.6,1,Normal
Department of Higher Education,Support to National Institutes of Technology (NITs) and IIEST,Repayment of Principal of HEFA Loan,220.8,152.0,122.0,120.0,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Science, Education and Research (IISER)","Total Support to Indian Institute(s) of Science, Education and Research (IISER)",1032.05,1379.53,1397.53,120.0,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Science, Education and Research (IISER)",Support from Gross Budgetary Support (GBS),945.27,1343.2,1396.54,1448.0,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Science, Education and Research (IISER)",Interest under HEFA Loan,8.27,7.7,0.99,5.0,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Science, Education and Research (IISER)",Repayment of Principal of HEFA Loan,78.51,28.63,0.0,9.0,1,Normal
Department of Higher Education,Support to Indian Institute of Science (IISc),Total Support to Indian Institute of Science (IISc),615.98,727.25,829.25,9.0,1,Normal
Department of Higher Education,Support to Indian Institute of Science (IISc),Support from Gross Budgetary Support (GBS),613.71,720.25,825.79,810.9,1,Normal
Department of Higher Education,Support to Indian Institute of Science (IISc),Interest under HEFA Loan,2.27,7.0,3.46,4.5,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Information Technology (Allahabad, Gwalior, Jabalpur and Kanchipuram)","Total Support to Indian Institute(s) of Information Technology (Allahabad, Gwalior, Jabalpur and Kanchipuram)",240.35,262.52,262.52,4.5,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Information Technology (Allahabad, Gwalior, Jabalpur and Kanchipuram)",Support from Gross Budgetary Support (GBS),240.32,259.52,262.52,289.0,1,Normal
Department of Higher Education,"Support to Indian Institute(s) of Information Technology (Allahabad, Gwalior, Jabalpur and Kanchipuram)",Interest under HEFA Loan,0.03,3.0,0.0,1.0,1,Normal
Department of Higher Education,Setting up Indian Institutes of Information Technology in PPP mode,Total Setting up Indian Institutes of Information Technology in PPP mode,167.0,280.0,225.0,270.0,1,Normal
Department of Higher Education,Grants to Councils/Institutes for Excellence in Humanities and Social Sciences,Total Grants to Councils/Institutes for Excellence in Humanities and Social Sciences,198.26,311.68,288.33,400.0,1,Normal
Department of Higher Education,Grants to Institutes for Promotion of Indian Languages,Total Grants to Institutes for Promotion of Indian Languages,176.5,250.0,250.0,300.7,1,Normal
Department of Higher Education,Bharatiya Bhasha University & Institute of Translation,Total Bharatiya Bhasha University & Institute of Translation,0.0,10.01,0.0,0.1,1,Normal
Department of Higher Education,"National Institute of Industrial Engineering, Mumbai","Total National Institute of Industrial Engineering, Mumbai",53.4,65.0,65.0,75.0,1,Normal
Department of Higher Education,"Board of Apprenticeship Training, Bombay, Calcutta, Madras and Kanpur","Total Board of Apprenticeship Training, Bombay, Calcutta, Madras and Kanpur",23.72,26.77,31.5,34.63,1,Normal
Department of Higher Education,Schools of Planning and Architecture (SPAs),Total Schools of Planning and Architecture (SPAs),115.0,154.9,154.9,175.0,1,Normal
Department of Higher Education,Indira Gandhi National Open University (IGNOU),Total Indira Gandhi National Open University (IGNOU),103.0,105.0,105.0,105.0,1,Normal
Department of Higher Education,National Institutes of Technical Teachers Training and Research (NITTTRs),Total National Institutes of Technical Teachers Training and Research (NITTTRs),141.35,225.0,201.0,150.0,1,Normal
Department of Higher Education,Assistance to Other Institutions,Total Assistance to Other Institutions,447.24,554.6,540.5,150.0,1,Normal
Department of Higher Education,Assistance to Other Institutions,Support from Gross Budgetary Support (GBS),415.87,538.6,538.5,578.84,1,Normal
Department of Higher Education,Assistance to Other Institutions,Interest under HEFA Loan,0.56,6.0,2.0,3.0,1,Normal
Department of Higher Education,Assistance to Other Institutions,Repayment of Principal of HEFA Loan,30.81,10.0,0.0,0.0,1,Normal
Department of Higher Education,Transfer to  Madhyamik and Uchhatar Shiksha Kosh,Total Transfer to  Madhyamik and Uchhatar Shiksha Kosh,0.0,14250.0,14250.0,6000.0,1,Normal
Department of Higher Education,Transfer to National Investment Fund  (NIF),Total Transfer to National Investment Fund  (NIF),3576.0,0.0,0.0,0.0,1,Normal
Department of Higher Education,Rashtriya Uchhatar Shiksha Abhiyan (RUSA),Total Rashtriya Uchhatar Shiksha Abhiyan (RUSA),242.34,2042.95,360.67,1500.0,1,Normal
Department of Higher Education,Improvement in Salary Scale of University and College Teachers,Total Improvement in Salary Scale of University and College Teachers,10.0,0.01,1.1,0.0,1,Normal
Department of Higher Education,General Education,Total General Education,17550.97,18784.39,19346.35,20573.27,1,Normal
Department of Higher Education,Technical Education,Total Technical Education,15617.05,16863.29,17793.08,18330.74,1,Normal
Department of Higher Education,Secretariat-Social Services,Total Secretariat-Social Services,98.83,144.17,149.78,160.18,1,Normal
Department of Higher Education,"Capital Outlay on Education, Sports, Art and Culture","Total Capital Outlay on Education, Sports, Art and Culture",12.02,18.01,18.01,8.47,1,Normal
Department of Higher Education,Capital Outlay on other Social Services,Total Capital Outlay on other Social Services,0.0,0.0,0.0,4.05,1,Normal
Department of Higher Education,North Eastern Areas,Total North Eastern Areas,0.0,3256.2,3288.96,3727.91,1,Normal
Department of Higher Education,Grants-in-aid to State Governments,Total Grants-in-aid to State Governments,252.04,1648.79,232.17,1190.0,1,Normal
Department of Higher Education,Grants-in-aid to Union Territory Governments,Total Grants-in-aid to Union Territory Governments,0.0,113.5,0.0,100.0,1,Normal
Department of Higher Education,EdCIL India Ltd,Total EdCIL India Ltd,37.48,0.0,46.39,0.0,1,Normal
Department of Investment and Public Asset Management (DIPAM),Secretariat - Economic Services,Total Secretariat - Economic Services,86.55,290.42,197.06,94.92,1,Normal
Department of Investment and Public Asset Management (DIPAM),Secretariat-Economic Services,Total Secretariat-Economic Services,86.55,290.42,197.06,93.46,1,Normal
Department of Investment and Public Asset Management (DIPAM),Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,0.0,0.0,0.0,1.46,1,Normal
Department of Land Resources,Secretariat,Total Secretariat,18.85,20.09,20.67,23.48,1,Normal
Department of Land Resources,Land Records Modernization Programme,Total Land Records Modernization Programme,250.02,239.25,239.25,195.75,1,Normal
Department of Land Resources,Integrated Watershed Development Program,Total Integrated Watershed Development Program,941.03,2000.0,1000.08,195.75,1,Normal
Department of Land Resources,Integrated Watershed Development Program,Programme Component,1193.06,1982.12,994.48,0.0,1,Normal
Department of Land Resources,Integrated Watershed Development Program,EAP Component,2.89,17.88,5.6,0.0,1,Normal
Department of Land Resources,Watershed Development Component-Pradhan Mantri Krishi Sinchai Yojana,Total Watershed Development Component-Pradhan Mantri Krishi Sinchai Yojana,0.0,0.0,0.0,0.0,1,Normal
Department of Land Resources,Watershed Development Component-Pradhan Mantri Krishi Sinchai Yojana,Program Component,0.0,0.0,0.0,2181.0,1,Normal
Department of Land Resources,Watershed Development Component-Pradhan Mantri Krishi Sinchai Yojana,EAP Component,0.0,0.0,0.0,19.0,1,Normal
Department of Land Resources,Special Programmes for  Rural Development,Total Special Programmes for  Rural Development,28.14,59.0,19.61,68.28,1,Normal
Department of Land Resources,Land Reforms,Total Land Reforms,250.02,215.33,215.33,176.17,1,Normal
Department of Land Resources,Secretariat-Economic Services,Total Secretariat-Economic Services,18.82,20.09,20.67,22.22,1,Normal
Department of Land Resources,Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,0.0,0.0,0.0,1.26,1,Normal
Department of Land Resources,North Eastern Areas,Total North Eastern Areas,0.0,223.92,125.78,239.58,1,Normal
Department of Land Resources,Grants-in-aid to State Governments,Total Grants-in-aid to State Governments,901.02,1697.0,869.08,1864.22,1,Normal
Department of Land Resources,Grants-in-aid to Union Territory Governments,Total Grants-in-aid to Union Territory Governments,11.87,44.0,9.53,47.5,1,Normal
Department of Pharmaceuticals,Secretariat,Total Secretariat,15.53,18.56,18.56,21.1,1,Normal
Department of Pharmaceuticals,National Pharmaceutical Pricing Authority (NPPA),Total National Pharmaceutical Pricing Authority (NPPA),13.92,17.79,17.83,18.9,1,Normal
Department of Pharmaceuticals,National Institutes of Pharmaceutical Education and Research (NIPERs),Total National Institutes of Pharmaceutical Education and Research (NIPERs),350.0,350.0,377.0,550.0,1,Normal
Department of Pharmaceuticals,Jan Aushadhi Scheme,Total Jan Aushadhi Scheme,68.5,72.5,100.0,115.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Industry,Total Development of Pharmaceutical Industry,157.08,0.0,0.0,0.0,1,Normal
Department of Pharmaceuticals,Consumer Awareness Publicity and Price Monitoring,Total Consumer Awareness Publicity and Price Monitoring,2.81,6.0,3.75,5.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,Total Development of Pharmaceutical Indsutry,0.0,100.0,36.0,5.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,Pharmaceutical Promotion & Development Scheme(PPDS),0.0,2.0,3.0,4.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,Assistance to Pharmaceutical Industry for Common Facilities(API-CF)/Cluster Development,0.0,36.0,32.0,51.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,Pharmaceuticals Technology Upgradation Assistance Scheme(PTUAS),0.0,62.0,1.0,95.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,Promotion of Bulk Drug Parks,0.0,0.0,0.0,900.0,1,Normal
Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,Promotion of Medical Device Parks,0.0,0.0,0.0,200.0,1,Normal
Department of Pharmaceuticals,Production Linked Incentive Schemes,Total Production Linked Incentive Schemes,0.0,1629.0,1663.3,200.0,1,Normal
Department of Pharmaceuticals,Production Linked Incentive Schemes,Promotion of Bulk Drug Parks,0.0,900.0,900.0,0.0,1,Normal
